# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.0004635075574   	k                 	1.0589451272e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0303989063e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0004635075574   	omega             	1.8671521750e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368556e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0004635075574   	p                 	-1.7966890887e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7504091454e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0004808144664   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6798084958e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0004808144664   	k                 	1.0627775311e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0295991819e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0004808144664   	omega             	1.8671522915e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368563e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0004808144664   	p                 	-1.7971713919e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7501268930e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0004981221232   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6798603620e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0004981221232   	k                 	1.0667100694e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0287870688e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0004981221232   	omega             	1.8671524081e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368570e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0004981221232   	p                 	-1.7975535502e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7498466428e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0005154307046   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6799044274e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0005154307046   	k                 	1.0707470609e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0279628573e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0005154307046   	omega             	1.8671525246e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368576e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0005154307046   	p                 	-1.7978423283e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7495811138e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0005327403474   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6799408588e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0005327403474   	k                 	1.0748916064e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0271273629e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0005327403474   	omega             	1.8671526411e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368582e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0005327403474   	p                 	-1.7980534461e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7493146132e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0005500511544   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6799698809e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0005500511544   	k                 	1.0791456074e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0262812370e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0005500511544   	omega             	1.8671527575e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368587e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0005500511544   	p                 	-1.7981806239e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7490622665e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0005673631974   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6799916959e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0005673631974   	k                 	1.0835104542e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0254245646e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0005673631974   	omega             	1.8671528740e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368592e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0005673631974   	p                 	-1.7982659125e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7488622731e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
