# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.0007642992      	k                 	4.5730252261e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0580326715e-02	(1.0649999393e-01 4.2517385589e-02 1.4546320639e-01)	1
0.0007642992      	omega             	1.9974718078e+01	(-3.7825082436e-01 4.4374061634e-01 3.6000896966e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0007642992      	p                 	-2.0033424488e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9982137997e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0007892992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.2977793352e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0007892992      	k                 	4.5100753625e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0614786509e-02	(1.0649999393e-01 4.2517385589e-02 1.4546320639e-01)	1
0.0007892992      	omega             	1.9973892189e+01	(-3.7825082436e-01 4.4374061634e-01 3.6000896966e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0007892992      	p                 	-2.0081265396e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9994940728e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0008142992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.3240209949e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0008142992      	k                 	4.4511849055e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0649833551e-02	(1.0649999393e-01 4.2517385589e-02 1.4546320639e-01)	1
0.0008142992      	omega             	1.9973066369e+01	(-3.7825082436e-01 4.4374061634e-01 3.6000896966e-01)	2	1.6962361625e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0008142992      	p                 	-2.0057320604e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	1.0001467166e+01	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0008392992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.3494853475e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0008392992      	k                 	4.3961385988e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0685421111e-02	(1.0649999393e-01 4.2517385589e-02 1.4546320639e-01)	1
0.0008392992      	omega             	1.9972240616e+01	(-3.7825082436e-01 4.4374061634e-01 3.6000896966e-01)	2	1.6962361625e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0008392992      	p                 	-2.0114431143e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	1.0002229189e+01	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0008642992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.3742013808e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0008642992      	k                 	4.3446343297e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0721515228e-02	(1.0649999393e-01 4.2517385589e-02 1.4546320639e-01)	1
0.0008642992      	omega             	1.9971414932e+01	(-3.7825082436e-01 4.4374061634e-01 3.6000896966e-01)	2	1.6962361625e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0008642992      	p                 	-2.0090039062e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	1.0004056585e+01	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0008892992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.3981940697e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0008892992      	k                 	4.2965633303e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0758084950e-02	(1.0649999393e-01 4.2517385589e-02 1.4546320639e-01)	1
0.0008892992      	omega             	1.9970589317e+01	(-3.7825082436e-01 4.4374061634e-01 3.6000896966e-01)	2	1.6962361625e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0008892992      	p                 	-2.0125661818e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	1.0006491327e+01	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0009142992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.4214917184e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0009142992      	k                 	4.2516535236e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0795099930e-02	(1.0649999393e-01 4.2517385589e-02 1.4546320639e-01)	1
